home,away,actual_home_goals,actual_away_goals,exp_home,exp_away,total,home_win_prob,draw_prob,away_win_prob,btts_prob,over_2_5,under_2_5,btts_strength,handicap_edge,value_edge,confidence,best_pick
liverpool,arsenal,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
brazil,morocco,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
loudoun united,rhode island,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
loudoun united,rhode island,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
sporting jax,detriot city,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
loudoun united fc,rhode island fc,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
liverpool,chelsea,,,1.8,1.5,3.3,43.9,22.8,31.9,63.7,79.2,20.8,67.5,0.3,29.2,10,Over 2.5 Goals
manchester,chelsea,,,1.2,1.5,2.7,30.2,25.5,43.7,53.9,64.8,35.2,45,-0.3,14.8,10,Over 2.5 Goals
manchester,arsenal,,,1.2,1.5,2.7,30.2,25.5,43.7,53.9,64.8,35.2,45,-0.3,14.8,10,Over 2.5 Goals
Arsenal Dzerzhinsk,Dnepr Mogilev,,,1.5,1.2,2.7,43.7,25.5,30.2,53.9,64.8,35.2,45,0.3,14.8,10,Over 2.5 Goals
liverpool,chelsea,,,1.98,1.47,3.45,48,21.8,28.3,64.8,82.8,17.2,72.8,0.51,32.8,10,Over 2.5 Goals
barcelona,malaga,,,1.53,1.34,2.87,41.5,24.8,32.9,57.2,68.9,31.1,51.2,0.2,18.9,10,Over 2.5 Goals
barcelona,malaga,,,1.53,1.34,2.87,41.5,24.8,32.9,57.2,68.9,31.1,51.2,0.2,18.9,10,Over 2.5 Goals
roma,milan,,,1.39,1.23,2.62,40.4,26.2,33,52.8,62.9,37.1,42.7,0.16,12.9,9.6,Over 2.5 Goals
